Stimulus_ID,Angle,Proximity,n_candidates,Candidates,Actor,path,label,annotator,list_id,Site,HeadTarget,face_x_min,face_y_min,face_x_max,face_y_max,option1_x,option1_y,option2_x,option2_y,option3_x,option3_y,option4_x,option4_y,DistEyeHead
11,right,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/right/IMG_9970.JPG,coffee,annotator1,0,Site0,-1,0.149895164,0.343699777,0.31149291,0.534931128,0.900293255,0.660152452,0.810361681,0.829886675,-1.0,-1.0,-1.0,-1.0,
12,front,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/front/bottle0.JPG,water,annotator1,10,Site0,-1,0.400369087,0.263362606,0.540953084,0.456089984,0.807420805,0.721407625,0.156011852,0.788856305,-1.0,-1.0,-1.0,-1.0,
13,front,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/front/bottle1.JPG,water,annotator1,13,Site0,-1,0.391188215,0.320343736,0.53804968,0.518365941,0.832214299,0.769305963,0.128269201,0.866080156,-1.0,-1.0,-1.0,-1.0,
14,front,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/front/coffee0.JPG,coffee,annotator1,16,Site0,-1,0.389808347,0.329639679,0.540160702,0.534485444,0.828781673,0.769305963,0.132110134,0.866080156,-1.0,-1.0,-1.0,-1.0,
15,front,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/front/coffee1.JPG,coffee,annotator1,1,Site0,-1,0.40513829,0.342541492,0.551484114,0.53526887,0.831528771,0.788856305,0.141913517,0.866080156,-1.0,-1.0,-1.0,-1.0,
16,front,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/front/coffee2.JPG,coffee,annotator1,16,Site0,-1,0.384785625,0.257701661,0.539945558,0.471878007,0.866080156,0.759584674,0.105571848,0.840616551,-1.0,-1.0,-1.0,-1.0,
17,left,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/left/IMG_9971.JPG,water,annotator1,0,Site0,-1,0.610195572,0.214024197,0.755074308,0.38812634,0.203578957,0.632453568,0.203578957,0.470185728,-1.0,-1.0,-1.0,-1.0,
18,left,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/left/IMG_9972.JPG,water,annotator1,18,Site0,-1,0.596839807,0.20515944,0.748845433,0.385260892,0.203403715,0.590420332,0.191853372,0.470185728,-1.0,-1.0,-1.0,-1.0,
19,left,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/left/IMG_9973.JPG,coffee,annotator1,10,Site0,-1,0.60961838,0.208159095,0.737255809,0.382261238,0.215097339,0.671554252,0.20594718,0.481915934,-1.0,-1.0,-1.0,-1.0,
20,left,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/left/IMG_9974.JPG,coffee,annotator1,8,Site0,-1,0.573394066,0.211024543,0.699987915,0.391125995,0.190243665,0.674486804,0.186414786,0.481915934,-1.0,-1.0,-1.0,-1.0,
21,right,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/right/IMG_9980.JPG,water,annotator1,17,Site0,-1,0.218523408,0.355764178,0.345119755,0.529866321,0.887090742,0.594330401,0.735069651,0.942326491,-1.0,-1.0,-1.0,-1.0,
22,right,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/right/IMG_9981.JPG,water,annotator1,12,Site0,-1,0.190335567,0.33257223,0.341720816,0.537417995,0.874995912,0.542521994,0.729393104,0.942326491,-1.0,-1.0,-1.0,-1.0,
23,right,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/right/IMG_9982.JPG,coffee,annotator1,17,Site0,-1,0.205013402,0.356210698,0.338,0.545060074,0.88559108,0.594330401,0.740582468,0.942326491,-1.0,-1.0,-1.0,-1.0,
24,right,2,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/2/right/IMG_9983.JPG,coffee,annotator1,18,Site0,-1,0.203890623,0.340392367,0.34,0.545238132,0.888222595,0.594330401,0.737484152,0.942326491,-1.0,-1.0,-1.0,-1.0,
25,front,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/front/bottle0.JPG,water,annotator1,1,Site0,-1,0.440081367,0.430214091,0.549165945,0.57067685,0.942326491,0.74545405,0.064516129,0.803365168,-1.0,-1.0,-1.0,-1.0,
26,front,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/front/bottle1.JPG,water,annotator1,12,Site0,-1,0.442908406,0.425392129,0.558069111,0.575473672,0.942326491,0.738528139,0.099706745,0.812987013,-1.0,-1.0,-1.0,-1.0,
27,front,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/front/coffee0.JPG,coffee,annotator1,12,Site0,-1,0.419553508,0.426667372,0.528638086,0.574219153,0.935483871,0.744237589,0.078201369,0.797429078,-1.0,-1.0,-1.0,-1.0,
28,front,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/front/coffee1.JPG,coffee,annotator1,0,Site0,-1,0.414523419,0.439095995,0.525848038,0.579622202,0.935483871,0.763391778,0.078201369,0.803502201,-1.0,-1.0,-1.0,-1.0,
29,left,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/left/bottle0.JPG,water,annotator1,16,Site0,-1,0.5307316,0.178833582,0.679812908,0.352935724,0.3286898,0.632453568,0.189621656,0.411534702,-1.0,-1.0,-1.0,-1.0,
30,left,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/left/bottle1.JPG,water,annotator1,10,Site0,-1,0.544850553,0.171013445,0.677624208,0.345115588,0.337360509,0.671554252,0.211264705,0.401759531,-1.0,-1.0,-1.0,-1.0,
31,left,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/left/coffee0.JPG,coffee,annotator1,11,Site0,-1,0.488654401,0.227929248,0.603030982,0.382041427,0.309547842,0.721407625,0.178355749,0.450635386,-1.0,-1.0,-1.0,-1.0,
32,left,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/left/coffee1.JPG,coffee,annotator1,11,Site0,-1,0.499127405,0.234771867,0.607279555,0.388884047,0.309881271,0.769305963,0.182639381,0.458455523,-1.0,-1.0,-1.0,-1.0,
33,right,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/right/IMG_9992.JPG,water,annotator1,2,Site0,-1,0.342820938,0.250564916,0.473750462,0.420011819,0.91878011,0.500488759,0.579097518,0.935483871,-1.0,-1.0,-1.0,-1.0,
34,right,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/right/IMG_9993.JPG,water,annotator1,8,Site0,-1,0.344936587,0.253940172,0.48305865,0.416636563,0.930011908,0.442815249,0.599306617,0.921798631,-1.0,-1.0,-1.0,-1.0,
35,right,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/right/IMG_9994.JPG,coffee,annotator1,1,Site0,-1,0.299747727,0.217347188,0.455785778,0.439544308,0.92050125,0.442815249,0.592028893,0.942326491,-1.0,-1.0,-1.0,-1.0,
36,right,3,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/3/right/IMG_9995.JPG,coffee,annotator1,10,Site0,-1,0.291517589,0.22723964,0.427935001,0.431175653,0.884652981,0.441122864,0.548387097,0.919925359,-1.0,-1.0,-1.0,-1.0,
37,front,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/front/IMG_0001.JPG,coffee,annotator1,12,Site0,-1,0.444833673,0.202361226,0.613838968,0.436934961,0.713049016,0.884652981,0.361975017,0.900293255,-1.0,-1.0,-1.0,-1.0,
38,front,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/front/IMG_0002.JPG,coffee,annotator1,15,Site0,-1,0.448082524,0.179931352,0.613192418,0.388983604,0.696171271,0.811339198,0.368761877,0.853372434,-1.0,-1.0,-1.0,-1.0,
39,front,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/front/IMG_0003.JPG,remote,annotator1,17,Site0,-1,0.426937279,0.155440405,0.600767384,0.39001414,0.679186614,0.853372434,0.349411748,0.866080156,-1.0,-1.0,-1.0,-1.0,
40,front,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/front/IMG_0004.JPG,remote,annotator1,11,Site0,-1,0.437501535,0.16717061,0.619610446,0.401744346,0.734533628,0.866080156,0.365646405,0.890518084,-1.0,-1.0,-1.0,-1.0,
41,left,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/left/IMG_9996.JPG,coffee,annotator1,6,Site0,-1,0.664069162,0.290245197,0.825666908,0.508228784,0.099706745,0.739092716,0.165200391,0.655533147,-1.0,-1.0,-1.0,-1.0,
42,left,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/left/IMG_9997.JPG,coffee,annotator1,18,Site0,-1,0.653123556,0.27607034,0.824882309,0.511056282,0.10459433,0.752555349,0.165200391,0.664290778,-1.0,-1.0,-1.0,-1.0,
43,left,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/left/IMG_9998.JPG,remote,annotator1,13,Site0,-1,0.675291423,0.284591843,0.822264784,0.505534636,0.11827957,0.748996286,0.203323558,0.669288224,-1.0,-1.0,-1.0,-1.0,
44,left,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/left/IMG_9999.JPG,remote,annotator1,1,Site0,-1,0.660716698,0.297174307,0.829019373,0.51738795,0.078201369,0.778156615,0.1485826,0.691208627,-1.0,-1.0,-1.0,-1.0,
45,right,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/right/IMG_0005.JPG,coffee,annotator1,15,Site0,-1,0.226877126,0.331236651,0.355,0.482191866,0.890518084,0.654515765,0.866080156,0.769772279,-1.0,-1.0,-1.0,-1.0,
46,right,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/right/IMG_0006.JPG,coffee,annotator1,4,Site0,-1,0.206790648,0.296277239,0.338663898,0.505234395,0.884652981,0.690535,0.866080156,0.799807341,-1.0,-1.0,-1.0,-1.0,
47,right,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/right/IMG_0007.JPG,remote,annotator1,5,Site0,-1,0.210269606,0.304854824,0.335184939,0.489159497,0.853372434,0.650362369,0.853372434,0.75945583,-1.0,-1.0,-1.0,-1.0,
48,right,1,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/1/right/IMG_0008.JPG,remote,annotator1,13,Site0,-1,0.198594026,0.294790352,0.33317528,0.491374593,0.866080156,0.656092139,0.853372434,0.769342761,-1.0,-1.0,-1.0,-1.0,
49,front,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/front/IMG_0013.JPG,coffee,annotator1,3,Site0,-1,0.399162026,0.209049998,0.560759772,0.424884044,0.866080156,0.806254198,0.105571848,0.836834647,-1.0,-1.0,-1.0,-1.0,
50,front,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/front/IMG_0014.JPG,coffee,annotator1,18,Site0,-1,0.395190007,0.245918664,0.54518145,0.450110141,0.832844575,0.813276436,0.109481916,0.831886918,-1.0,-1.0,-1.0,-1.0,
51,front,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/front/IMG_0015.JPG,remote,annotator1,4,Site0,-1,0.372769064,0.235430238,0.534366811,0.46537382,0.866080156,0.846900558,0.099706745,0.86450032,-1.0,-1.0,-1.0,-1.0,
52,front,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/front/IMG_0016.JPG,remote,annotator1,5,Site0,-1,0.40795968,0.207796631,0.569557426,0.425218194,0.884652981,0.798230196,0.109481916,0.828009423,-1.0,-1.0,-1.0,-1.0,
53,left,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/left/IMG_0009.JPG,coffee,annotator1,7,Site0,-1,0.669872314,0.242439311,0.819863757,0.471217615,0.11827957,0.805514191,0.1485826,0.575460781,-1.0,-1.0,-1.0,-1.0,
54,left,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/left/IMG_0010.JPG,coffee,annotator1,4,Site0,-1,0.634681698,0.255826319,0.784673141,0.471903002,0.109481916,0.822765982,0.105571848,0.594123246,-1.0,-1.0,-1.0,-1.0,
55,left,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/left/IMG_0011.JPG,remote,annotator1,0,Site0,-1,0.658204059,0.222418165,0.819801806,0.448169652,0.109481916,0.820428214,0.1485826,0.58256695,-1.0,-1.0,-1.0,-1.0,
56,left,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/left/IMG_0012.JPG,remote,annotator1,19,Site0,-1,0.638638634,0.236941306,0.780716205,0.456290386,0.11827957,0.811340735,0.109481916,0.580225316,-1.0,-1.0,-1.0,-1.0,
57,right,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/right/IMG_0017.JPG,coffee,annotator1,16,Site0,-1,0.2,0.25,0.37,0.5,0.913000978,0.63055995,0.853372434,0.917695487,-1.0,-1.0,-1.0,-1.0,
58,right,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/right/IMG_0018.JPG,coffee,annotator1,9,Site0,-1,0.2,0.25,0.37,0.5,0.913000978,0.62999608,0.853372434,0.927404087,-1.0,-1.0,-1.0,-1.0,
59,right,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/right/IMG_0019.JPG,remote,annotator1,11,Site0,-1,0.1919284,0.249592192,0.353526146,0.472611901,0.903225806,0.631154514,0.853372434,0.931212811,-1.0,-1.0,-1.0,-1.0,
60,right,2,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/2/right/IMG_0020.JPG,remote,annotator1,4,Site0,-1,0.155177732,0.251895948,0.345311026,0.471204176,0.890518084,0.618188972,0.810361681,0.918244238,-1.0,-1.0,-1.0,-1.0,
61,front,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/front/IMG_0025.JPG,coffee,annotator1,3,Site0,-1,0.492915711,0.339938554,0.592128277,0.481422708,0.942326491,0.708204382,0.109481916,0.722520378,-1.0,-1.0,-1.0,-1.0,
62,front,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/front/IMG_0026.JPG,coffee,annotator1,8,Site0,-1,0.483309969,0.338969132,0.58804878,0.472918824,0.921798631,0.68727475,0.109481916,0.709044393,-1.0,-1.0,-1.0,-1.0,
63,front,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/front/IMG_0027.JPG,remote,annotator1,4,Site0,-1,0.437442909,0.337506657,0.540074197,0.476966896,0.913000978,0.697947733,0.099706745,0.711161868,-1.0,-1.0,-1.0,-1.0,
64,front,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/front/IMG_0028.JPG,remote,annotator1,-1,Site0,-1,0.442908406,0.382886371,0.558069111,0.524250239,0.942326491,0.765494051,0.064516129,0.783749247,-1.0,-1.0,-1.0,-1.0,
65,left,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/left/IMG_0021.JPG,coffee,annotator1,19,Site0,-1,0.609118315,0.164561264,0.773332848,0.386758384,0.231102218,0.849462366,0.162716911,0.458455523,-1.0,-1.0,-1.0,-1.0,
66,left,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/left/IMG_0022.JPG,coffee,annotator1,11,Site0,-1,0.598256556,0.173358918,0.766452904,0.395556038,0.217134789,0.866080156,0.155871257,0.476050831,-1.0,-1.0,-1.0,-1.0,
67,left,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/left/IMG_0023.JPG,remote,annotator1,3,Site0,-1,0.604877439,0.196894415,0.744096168,0.37982776,0.230694037,0.859450217,0.188660802,0.474564938,-1.0,-1.0,-1.0,-1.0,
68,left,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/left/IMG_0024.JPG,remote,annotator1,-1,Site0,-1,0.535486805,0.188093789,0.668327341,0.380821167,0.193364817,0.853372434,0.143096754,0.474095797,-1.0,-1.0,-1.0,-1.0,
69,right,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/right/IMG_0029.JPG,coffee,annotator1,7,Site0,-1,0.255481775,0.182963461,0.397236569,0.33707564,0.862287653,0.417399804,0.500428743,0.890518084,-1.0,-1.0,-1.0,-1.0,
70,right,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/right/IMG_0030.JPG,coffee,annotator1,5,Site0,-1,0.255235393,0.240252637,0.380150726,0.391034088,0.796676442,0.469651364,0.500488759,0.892720405,-1.0,-1.0,-1.0,-1.0,
71,right,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/right/IMG_0031.JPG,remote,annotator1,3,Site0,-1,0.144838063,0.15388069,0.292038102,0.346608068,0.776765292,0.407624633,0.500479663,0.900293255,-1.0,-1.0,-1.0,-1.0,
72,right,3,2,coffee+remote,X,./stimuli/A_cropped/coffee_remote_X/3/right/IMG_0032.JPG,remote,annotator1,9,Site0,-1,0.293341391,0.188271674,0.426111199,0.378911571,0.884652981,0.445333166,0.500488759,0.870017664,-1.0,-1.0,-1.0,-1.0,
73,front,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/front/bottle_0075.JPG,water,annotator1,17,Site0,-1,0.397497686,0.14233048,0.576829896,0.393348894,0.655362392,0.826979472,0.372965794,0.632453568,-1.0,-1.0,-1.0,-1.0,
74,front,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/front/bottle_0076.JPG,water,annotator1,19,Site0,-1,0.404993778,0.157263971,0.579733813,0.39992078,0.657665159,0.788856305,0.371082904,0.632453568,-1.0,-1.0,-1.0,-1.0,
75,front,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/front/bottle_0077.JPG,water,annotator1,2,Site0,-1,0.422431677,0.151398868,0.604288985,0.394055677,0.695233222,0.788856305,0.431474432,0.579667644,-1.0,-1.0,-1.0,-1.0,
76,front,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/front/doll_0073.JPG,doll,annotator1,14,Site0,-1,0.409092943,0.163129074,0.591846634,0.405785882,0.664895754,0.827956989,0.409330825,0.594330401,-1.0,-1.0,-1.0,-1.0,
77,front,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/front/doll_0074.JPG,doll,annotator1,16,Site0,-1,0.397868304,0.170306691,0.563486365,0.398608265,0.627718109,0.788856305,0.364741338,0.590420332,-1.0,-1.0,-1.0,-1.0,
78,left,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/left/IMG_0069.JPG,doll,annotator1,0,Site0,-1,0.698267177,0.236290179,0.840344749,0.432510372,0.1485826,0.607106266,0.31769306,0.500395226,-1.0,-1.0,-1.0,-1.0,
79,left,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/left/IMG_0070.JPG,doll,annotator1,12,Site0,-1,0.693379592,0.180876938,0.835457163,0.370575031,0.1485826,0.500468213,0.311827957,0.500468213,-1.0,-1.0,-1.0,-1.0,
80,left,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/left/IMG_0071.JPG,water,annotator1,13,Site0,-1,0.612131805,0.30868113,0.73193487,0.471377521,0.125464206,0.632453568,0.282028605,0.542521994,-1.0,-1.0,-1.0,-1.0,
81,left,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/left/IMG_0072.JPG,water,annotator1,11,Site0,-1,0.628856804,0.336051609,0.740530193,0.498748,0.150718878,0.632453568,0.293797892,0.548387097,-1.0,-1.0,-1.0,-1.0,
82,right,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/right/IMG_0078.JPG,doll,annotator1,6,Site0,-1,0.159701368,0.218674212,0.316772869,0.404981702,0.873879107,0.500488759,0.710455456,0.548387097,-1.0,-1.0,-1.0,-1.0,
83,right,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/right/IMG_0079.JPG,doll,annotator1,5,Site0,-1,0.144814661,0.282230399,0.316573413,0.476181672,0.890518084,0.614059807,0.721407625,0.614059807,-1.0,-1.0,-1.0,-1.0,
84,right,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/right/IMG_0080.JPG,water,annotator1,1,Site0,-1,0.187786713,0.282764051,0.312702046,0.490476922,0.884652981,0.580746296,0.721407625,0.64684948,-1.0,-1.0,-1.0,-1.0,
85,right,1,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/1/right/IMG_0081.JPG,water,annotator1,12,Site0,-1,0.142059943,0.316058604,0.284137515,0.489513244,0.884652981,0.57170088,0.716520039,0.654398827,-1.0,-1.0,-1.0,-1.0,
86,front,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/front/IMG_0086.JPG,doll,annotator1,13,Site0,-1,0.374556814,0.255257487,0.528668993,0.466151115,0.853372434,0.817699655,0.064516129,0.69905663,-1.0,-1.0,-1.0,-1.0,
87,front,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/front/IMG_0087.JPG,doll,annotator1,2,Site0,-1,0.389324904,0.234048469,0.539316347,0.435454592,0.853372434,0.744106988,0.109481916,0.62005988,-1.0,-1.0,-1.0,-1.0,
88,front,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/front/IMG_0088.JPG,water,annotator1,4,Site0,-1,0.370752079,0.248845769,0.520743522,0.452813217,0.853372434,0.751167435,0.109481916,0.615171531,-1.0,-1.0,-1.0,-1.0,
89,front,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/front/IMG_0089.JPG,water,annotator1,14,Site0,-1,0.344253783,0.25907901,0.498365963,0.466679647,0.853372434,0.812738945,0.064516129,0.695948468,-1.0,-1.0,-1.0,-1.0,
90,left,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/left/IMG_0082.JPG,doll,annotator1,2,Site0,-1,0.565519771,0.242592004,0.677745162,0.396704183,0.184282515,0.594330401,0.220289238,0.442815249,-1.0,-1.0,-1.0,-1.0,
91,left,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/left/IMG_0083.JPG,doll,annotator1,16,Site0,-1,0.571970206,0.243187484,0.681974006,0.405883875,0.16384673,0.594330401,0.211192261,0.440860215,-1.0,-1.0,-1.0,-1.0,
92,left,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/left/IMG_0084.JPG,water,annotator1,3,Site0,-1,0.571381947,0.249571873,0.67052836,0.397544452,0.187342339,0.594330401,0.222944233,0.440860215,-1.0,-1.0,-1.0,-1.0,
93,left,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/left/IMG_0085.JPG,water,annotator1,0,Site0,-1,0.561007057,0.202740513,0.681956674,0.391589888,0.177692026,0.594330401,0.214450376,0.440860215,-1.0,-1.0,-1.0,-1.0,
94,right,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/right/IMG_0090.JPG,doll,annotator1,3,Site0,-1,0.308410651,0.259089154,0.411041939,0.410814753,0.788856305,0.423490847,0.832844575,0.630402392,-1.0,-1.0,-1.0,-1.0,
95,right,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/right/IMG_0091.JPG,doll,annotator1,16,Site0,-1,0.306642388,0.259124709,0.412810203,0.412668018,0.788856305,0.422574249,0.832844575,0.631964645,-1.0,-1.0,-1.0,-1.0,
96,right,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/right/IMG_0092.JPG,water,annotator1,10,Site0,-1,0.278026635,0.260782792,0.40008484,0.423479183,0.804218087,0.42228739,0.825231581,0.632453568,-1.0,-1.0,-1.0,-1.0,
97,right,2,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/2/right/IMG_0093.JPG,water,annotator1,11,Site0,-1,0.23194465,0.288179671,0.381936093,0.434467364,0.782013685,0.423172262,0.811339198,0.630945389,-1.0,-1.0,-1.0,-1.0,
98,front,3,2,doll+water,X,./stimuli/A_cropped/doll_bottle_X/3/front/IMG_0098.JPG,doll,annotator1,-1,Site0,-1,0.418433487,0.347294961,0.529758106,0.504006284,0.884652981,0.699291527,0.078201369,0.654417938,-1.0,-1.0,-1.0,-1.0,
